# file...... output/s_in.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 418
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:02:18 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:19 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:20 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:21 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:22 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:23 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:24 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:25 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:26 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:27 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:28 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:29 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:30 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:31 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:32 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:33 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:34 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:35 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:36 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:37 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:38 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
2001-08-01 12:02:39 PDT,+2479490.12825,+2179635.21388,+1046891.62664,+829822.809157,+638565.969804,+651759.597378,+794032.531804,+698052.807341
